read,domain,e-value
M00595:42:000000000-A5J1T:1:2111:23943:15427;sample=PMRS0469.MID31-32.P1.apr13;size=1;,DBLa0.14,4e-52
M00595:42:000000000-A5J1T:1:2105:11162:20510;sample=PMRS0486.MID32-33.P2.apr13;size=1;,DBLa0.17,3.8e-49
M00595:42:000000000-A5J1T:1:1116:20515:11449;sample=PMRS0280.MID21-23.P1.apr13;size=3;,DBLa0.1,4.4e-57
M00595:42:000000000-A5J1T:1:2101:17083:10537;sample=PMRS0453.MID30-32.P2.apr13;size=1;,DBLa0.23,9.2e-50
M00595:42:000000000-A5J1T:1:2106:14782:11383;sample=PMRS0345.MID24-24.P2.apr13;size=3;,DBLa0.15,2.2e-57
M00595:42:000000000-A5J1T:1:2104:20396:11904;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.8,2.2e-51
M00595:42:000000000-A5J1T:1:1116:19803:10873;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.9,6.2e-51
M00595:42:000000000-A5J1T:1:1107:7201:22933;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.5,1.7e-53
M00595:42:000000000-A5J1T:1:1112:15277:20110;sample=PMRS0394.MID26-28.P2.apr13;size=3;,DBLa0.8,3e-59
M00595:42:000000000-A5J1T:1:2116:16487:8191;sample=PMRS0062.MID04-05.P2.apr13;size=1;,DBLa0.8,5.9e-57
M00595:42:000000000-A5J1T:1:1114:18001:2914;sample=PMRS0293.MID22-22.P2.apr13;size=1;,DBLa0.16,8.8e-53
M00595:42:000000000-A5J1T:1:2103:18113:8890;sample=PMRS0442.MID30-30.P1.apr13;size=1;,DBLa0.11,1.1e-45
M00595:42:000000000-A5J1T:1:2110:19173:4096;sample=PMRS0384.MID26-26.P1.apr13;size=2;,DBLa0.11,2.5e-51
M00595:42:000000000-A5J1T:1:2112:17766:17325;sample=PMRS0345.MID24-24.P2.apr13;size=2;,DBLa0.1,5e-59
M00595:42:000000000-A5J1T:1:1105:15457:13738;sample=PMRS0484.MID32-32.P2.apr13;size=1;,DBLa0.23,2e-49
M00595:42:000000000-A5J1T:1:1104:10830:2848;sample=PMRS0345.MID24-24.P2.apr13;size=2;,DBLa0.8,2.4e-46
M00595:42:000000000-A5J1T:1:2109:19958:12019;sample=PMRS0004.MID01-02.P2.apr13;size=1;,DBLa1.8,3.4e-55
M00595:42:000000000-A5J1T:1:1112:19496:13374;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.4,5.7e-48
M00595:42:000000000-A5J1T:1:2116:16921:18076;sample=PMRS0465.MID31-31.P2.apr13;size=1;,DBLa0.6,1.1e-50
M00595:42:000000000-A5J1T:1:1106:22776:18445;sample=PMRS0002.MID01-01.P1.apr13;size=1;,DBLa0.5,2.1e-56
M00595:42:000000000-A5J1T:1:2102:18589:10951;sample=PMRS0100.MID07-08.P2.apr13;size=1;,DBLa0.8,2.4e-51
M00595:42:000000000-A5J1T:1:2108:14654:4337;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.19,1.6e-58
M00595:42:000000000-A5J1T:1:1102:8524:16299;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.11,2.4e-59
M00595:42:000000000-A5J1T:1:1111:10985:5337;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.20,7.3e-51
M00595:42:000000000-A5J1T:1:2117:20824:24453;sample=PMRS0429.MID28-30.P2.apr13;size=3;,DBLa0.9,1e-46
M00595:42:000000000-A5J1T:1:2111:15206:9949;sample=PMRS0484.MID32-32.P2.apr13;size=2;,DBLa0.24,1.4e-49
M00595:42:000000000-A5J1T:1:2111:12746:14262;sample=PMRS0386.MID26-26.P2.apr13;size=1;,DBLa0.11,1.9e-58
M00595:42:000000000-A5J1T:1:2119:25642:22141;sample=PMRS0108.MID08-08.P2.apr13;size=2;,DBLa0.1,1.5e-59
M00595:42:000000000-A5J1T:1:2113:24036:3832;sample=PMRS0430.MID29-29.P1.apr13;size=1;,DBLa0.12,1.6e-47
M00595:42:000000000-A5J1T:1:1114:20900:20489;sample=PMRS0540.MID34-36.P1.apr13;size=1;,DBLa0.1,2e-53
M00595:42:000000000-A5J1T:1:1103:16868:8688;sample=PMRS0065.MID04-06.P2.apr13;size=1;,DBLa0.11,2.4e-57
M00595:42:000000000-A5J1T:1:2114:22158:18913;sample=PMRS0179.MID14-16.P1.apr13;size=1;,DBLa0.1,1.1e-60
M00595:42:000000000-A5J1T:1:1110:11327:13435;sample=PMRS0453.MID30-32.P2.apr13;size=1;,DBLa0.11,1.7e-55
M00595:42:000000000-A5J1T:1:2107:26102:17429;sample=PMRS0502.MID33-34.P1.apr13;size=1;,DBLa1.8,4.2e-56
M00595:42:000000000-A5J1T:1:2108:22058:10264;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.8,7.4e-55
M00595:42:000000000-A5J1T:1:1110:11140:22249;sample=PMRS0430.MID29-29.P1.apr13;size=3;,DBLa0.13,5.9e-57
M00595:42:000000000-A5J1T:1:2112:18837:6079;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.8,8.9e-54
M00595:42:000000000-A5J1T:1:1115:25319:14367;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.15,3.9e-51
M00595:42:000000000-A5J1T:1:1111:7790:19665;sample=PMRS0239.MID19-20.P2.apr13;size=1;,DBLa0.1,2.8e-56
M00595:42:000000000-A5J1T:1:2113:23921:7654;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.11,5.8e-57
M00595:42:000000000-A5J1T:1:1117:14363:24194;sample=PMRS0279.MID21-22.P2.apr13;size=2;,DBLa0.3,3.8e-42
M00595:42:000000000-A5J1T:1:2109:13258:3740;sample=PMRS0488.MID32-34.P1.apr13;size=1;,DBLa0.1,5.3e-57
M00595:42:000000000-A5J1T:1:1107:13800:10899;sample=PMRS0236.MID19-19.P2.apr13;size=1;,DBLa0.5,1.3e-53
M00595:42:000000000-A5J1T:1:1104:21474:18975;sample=PMRS0040.MID03-04.P2.apr13;size=1;,DBLa1.2,1.7e-49
M00595:42:000000000-A5J1T:1:1112:7235:11548;sample=PMRS0121.MID10-10.P2.apr13;size=2;,DBLa0.1,7.2e-51
M00595:42:000000000-A5J1T:1:1112:15214:13424;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.3,3.3e-50
M00595:42:000000000-A5J1T:1:1111:20961:9962;sample=PMRS0453.MID30-32.P2.apr13;size=2;,DBLa0.9,3.4e-52
M00595:42:000000000-A5J1T:1:2114:15761:3962;sample=PMRS0442.MID30-30.P1.apr13;size=1;,DBLa0.5,1.6e-60
M00595:42:000000000-A5J1T:1:2106:17389:15793;sample=PMRS0377.MID25-26.P2.apr13;size=2;,DBLa0.8,1.5e-50
M00595:42:000000000-A5J1T:1:1110:24026:6492;sample=PMRS0469.MID31-32.P1.apr13;size=10;,DBLa0.3,5.2e-50
M00595:42:000000000-A5J1T:1:2108:19735:8956;sample=PMRS0118.MID10-10.P1.apr13;size=1;,DBLa0.15,1.2e-50
M00595:42:000000000-A5J1T:1:2106:21580:15155;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.5,8.7e-55
M00595:42:000000000-A5J1T:1:1113:27378:14955;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.19,4.3e-53
M00595:42:000000000-A5J1T:1:2106:13221:17998;sample=PMRS0502.MID33-34.P1.apr13;size=1;,DBLa0.1,4.5e-54
M00595:42:000000000-A5J1T:1:1101:7694:3108;sample=PMRS0373.MID25-26.P1.apr13;size=1;,DBLa0.23,3.3e-45
M00595:42:000000000-A5J1T:1:2111:19176:17919;sample=PMRS0191.MID15-18.P1.apr13;size=1;,DBLa1.2,1.4e-54
M00595:42:000000000-A5J1T:1:1105:7572:19462;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.8,1.8e-55
M00595:42:000000000-A5J1T:1:2106:13728:20366;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa0.17,5e-55
M00595:42:000000000-A5J1T:1:1109:20075:9984;sample=PMRS0469.MID31-32.P1.apr13;size=1;,DBLa0.3,1.8e-50
M00595:42:000000000-A5J1T:1:2108:18007:21192;sample=PMRS0453.MID30-32.P2.apr13;size=3;,DBLa0.23,8.6e-43
M00595:42:000000000-A5J1T:1:1101:17834:7659;sample=PMRS0065.MID04-06.P2.apr13;size=1;,DBLa0.11,5e-61
M00595:42:000000000-A5J1T:1:2112:17978:9284;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.8,5.6e-54
M00595:42:000000000-A5J1T:1:2119:24036:3336;sample=PMRS0486.MID32-33.P2.apr13;size=1;,DBLa0.1,3.4e-57
M00595:42:000000000-A5J1T:1:2116:22991:13679;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.5,7.5e-56
M00595:42:000000000-A5J1T:1:2119:15803:14918;sample=PMRS0207.MID16-19.P1.apr13;size=1;,DBLa0.8,6.8e-58
M00595:42:000000000-A5J1T:1:1103:12502:12977;sample=PMRS0502.MID33-34.P1.apr13;size=1;,DBLa0.11,6.3e-54
M00595:42:000000000-A5J1T:1:2113:16342:20667;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.19,4.7e-57
M00595:42:000000000-A5J1T:1:2113:21286:14700;sample=PMRS0027.MID02-04.P2.apr13;size=1;,DBLa0.5,2.5e-54
M00595:42:000000000-A5J1T:1:2105:19446:12159;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.8,1.6e-53
M00595:42:000000000-A5J1T:1:2109:19008:11919;sample=PMRS0486.MID32-33.P2.apr13;size=1;,DBLa0.1,1.9e-49
M00595:42:000000000-A5J1T:1:2110:18191:11746;sample=PMRS0541.MID34-36.P2.apr13;size=1;,DBLa0.1,1.4e-58
M00595:42:000000000-A5J1T:1:1112:11908:21163;sample=PMRS0148.MID11-14.P2.apr13;size=1;,DBLa0.23,1.7e-38
M00595:42:000000000-A5J1T:1:2114:12400:16633;sample=PMRS0013.MID02-02.P2.apr13;size=1;,DBLa0.1,1.9e-58
M00595:42:000000000-A5J1T:1:2114:10891:15314;sample=PMRS0231.MID18-20.P2.apr13;size=1;,DBLa0.12,5.7e-54
M00595:42:000000000-A5J1T:1:1109:15152:3547;sample=PMRS0169.MID14-14.P2.apr13;size=3;,DBLa0.24,5.2e-57
M00595:42:000000000-A5J1T:1:1102:23677:9434;sample=PMRS0148.MID11-14.P2.apr13;size=1;,DBLa1.1,1.6e-53
M00595:42:000000000-A5J1T:1:1117:19211:21054;sample=PMRS0079.MID05-07.P2.apr13;size=1;,DBLa0.8,1.1e-54
M00595:42:000000000-A5J1T:1:2105:7413:16338;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.5,1.5e-49
M00595:42:000000000-A5J1T:1:2111:19892:11356;sample=PMRS0503.MID33-34.P2.apr13;size=1;,DBLa0.9,9e-55
M00595:42:000000000-A5J1T:1:1110:13869:12681;sample=PMRS0193.MID16-16.P1.apr13;size=2;,DBLa0.9,1.3e-48
M00595:42:000000000-A5J1T:1:1104:4831:17657;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa0.1,3.1e-55
M00595:42:000000000-A5J1T:1:2114:23192:6839;sample=PMRS0378.MID25-27.P1.apr13;size=3;,DBLa1.4,4.6e-40
M00595:42:000000000-A5J1T:1:1113:11276:1857;sample=PMRS0178.MID14-15.P1.apr13;size=2;,DBLa0.23,6.3e-46
M00595:42:000000000-A5J1T:1:2105:9409:15822;sample=PMRS0412.MID27-29.P2.apr13;size=2;,DBLa2,5.8e-53
M00595:42:000000000-A5J1T:1:2109:11828:11161;sample=PMRS0302.MID22-24.P2.apr13;size=1;,DBLa0.1,2.3e-55
M00595:42:000000000-A5J1T:1:1113:11371:23436;sample=PMRS0093.MID07-07.P2.apr13;size=1;,DBLa0.1,5.6e-59
M00595:42:000000000-A5J1T:1:2113:7234:7911;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.3,1.4e-38
M00595:42:000000000-A5J1T:1:2105:15682:3057;sample=PMRS0108.MID08-08.P2.apr13;size=10;,DBLa1.2,1.2e-51
M00595:42:000000000-A5J1T:1:1108:16143:4953;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.12,5.6e-54
M00595:42:000000000-A5J1T:1:1119:18204:16237;sample=PMRS0471.MID31-32.P2.apr13;size=1;,DBLa0.11,5.4e-57
M00595:42:000000000-A5J1T:1:2108:19830:7867;sample=PMRS0062.MID04-05.P2.apr13;size=1;,DBLa0.15,2e-52
M00595:42:000000000-A5J1T:1:2116:6112:11759;sample=PMRS0486.MID32-33.P2.apr13;size=1;,DBLa0.19,1.9e-56
M00595:42:000000000-A5J1T:1:2105:12158:7297;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa0.8,6.2e-51
M00595:42:000000000-A5J1T:1:1110:12498:16444;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.8,4.9e-54
M00595:42:000000000-A5J1T:1:1118:10549:10419;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.8,1.9e-54
M00595:42:000000000-A5J1T:1:1102:23367:11163;sample=PMRS0040.MID03-04.P2.apr13;size=1;,DBLa0.11,8.4e-56
M00595:42:000000000-A5J1T:1:2116:17430:7937;sample=PMRS0457.MID31-31.P1.apr13;size=1;,DBLa0.18,5.4e-52
M00595:42:000000000-A5J1T:1:1102:19169:7971;sample=PMRS0191.MID15-18.P1.apr13;size=1;,DBLa0.5,3.2e-55
M00595:42:000000000-A5J1T:1:1119:9169:19154;sample=PMRS0302.MID22-24.P2.apr13;size=1;,DBLa0.4,5.8e-50
M00595:42:000000000-A5J1T:1:2116:16962:20634;sample=PMRS0014.MID02-03.P1.apr13;size=3;,DBLa0.1,1.7e-60
M00595:42:000000000-A5J1T:1:2111:16498:1804;sample=PMRS0092.MID07-07.P1.apr13;size=1;,DBLa0.4,3.9e-52
M00595:42:000000000-A5J1T:1:1101:21907:6611;sample=PMRS0108.MID08-08.P2.apr13;size=1;,DBLa0.5,7.8e-55
M00595:42:000000000-A5J1T:1:1119:19669:10950;sample=PMRS0512.MID34-34.P1.apr13;size=2;,DBLa1.8,3.7e-56
M00595:42:000000000-A5J1T:1:1114:21155:21706;sample=PMRS0377.MID25-26.P2.apr13;size=2;,DBLa0.10,1.5e-51
M00595:42:000000000-A5J1T:1:1106:10573:22000;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.1,1.7e-57
M00595:42:000000000-A5J1T:1:2113:11784:4706;sample=PMRS0223.MID18-18.P2.apr13;size=1;,DBLa0.9,1.1e-54
M00595:42:000000000-A5J1T:1:1106:13354:7020;sample=PMRS0178.MID14-15.P1.apr13;size=1;,DBLa0.1,5.2e-58
M00595:42:000000000-A5J1T:1:2114:6616:5524;sample=PMRS0121.MID10-10.P2.apr13;size=1;,DBLa0.8,3e-51
M00595:42:000000000-A5J1T:1:2113:10610:8222;sample=PMRS0236.MID19-19.P2.apr13;size=1;,DBLa0.1,1.1e-49
M00595:42:000000000-A5J1T:1:1119:17467:9248;sample=PMRS0440.MID29-31.P2.apr13;size=1;,DBLa1.2,5.2e-54
M00595:42:000000000-A5J1T:1:2118:24840:14212;sample=PMRS0386.MID26-26.P2.apr13;size=1;,DBLa0.1,8.9e-53
M00595:42:000000000-A5J1T:1:2104:16304:10308;sample=PMRS0051.MID04-05.P1.apr13;size=1;,DBLa0.5,3.3e-56
M00595:42:000000000-A5J1T:1:1109:17431:4276;sample=PMRS0194.MID16-16.P2.apr13;size=1;,DBLa0.1,3.5e-60
M00595:42:000000000-A5J1T:1:2112:14952:20996;sample=PMRS0425.MID28-29.P1.apr13;size=1;,DBLa0.8,2.8e-53
M00595:42:000000000-A5J1T:1:1111:13534:12112;sample=PMRS0453.MID30-32.P2.apr13;size=1;,DBLa0.8,2.2e-55
M00595:42:000000000-A5J1T:1:1112:15289:16215;sample=PMRS0031.MID03-03.P1.apr13;size=1;,DBLa0.3,4.8e-45
M00595:42:000000000-A5J1T:1:1107:12006:15741;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa0.23,6.1e-53
M00595:42:000000000-A5J1T:1:2104:22104:11986;sample=PMRS0480.MID32-32.P1.apr13;size=1;,DBLa0.1,8.1e-56
M00595:42:000000000-A5J1T:1:2112:14749:10718;sample=PMRS0040.MID03-04.P2.apr13;size=1;,DBLa0.15,1.3e-53
M00595:42:000000000-A5J1T:1:1105:15660:13621;sample=PMRS0045.MID03-05.P2.apr13;size=1;,DBLa0.1,1.4e-58
M00595:42:000000000-A5J1T:1:1110:4195:14904;sample=PMRS0178.MID14-15.P1.apr13;size=1;,DBLa0.10,5.9e-54
M00595:42:000000000-A5J1T:1:2110:18486:10442;sample=PMRS0293.MID22-22.P2.apr13;size=1;,DBLa0.5,1.5e-54
M00595:42:000000000-A5J1T:1:1107:8907:21544;sample=PMRS0148.MID11-14.P2.apr13;size=1;,DBLa0.1,2.4e-42
M00595:42:000000000-A5J1T:1:1108:8676:20834;sample=PMRS0486.MID32-33.P2.apr13;size=3;,DBLa0.24,7.3e-53
M00595:42:000000000-A5J1T:1:1113:12890:4391;sample=PMRS0020.MID02-04.P1.apr13;size=1;,DBLa0.20,2.6e-57
M00595:42:000000000-A5J1T:1:2116:16081:4943;sample=PMRS0113.MID08-11.P1.apr13;size=1;,DBLa0.5,1.1e-46
M00595:42:000000000-A5J1T:1:1115:22165:15922;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.11,4e-52
M00595:42:000000000-A5J1T:1:1112:17778:14999;sample=PMRS0143.MID11-11.P2.apr13;size=1;,DBLa0.22,1.1e-54
M00595:42:000000000-A5J1T:1:1112:19745:12063;sample=PMRS0208.MID16-19.P2.apr13;size=1;,DBLa0.12,2.7e-53
M00595:42:000000000-A5J1T:1:2106:6868:7872;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.11,5.8e-56
M00595:42:000000000-A5J1T:1:1116:28594:13405;sample=PMRS0323.MID23-25.P2.apr13;size=1;,DBLa1.8,7.3e-51
M00595:42:000000000-A5J1T:1:2107:7059:19075;sample=PMRS0118.MID10-10.P1.apr13;size=1;,DBLa0.1,7.5e-45
M00595:42:000000000-A5J1T:1:2106:6387:20780;sample=PMRS0471.MID31-32.P2.apr13;size=1;,DBLa0.5,1.2e-58
M00595:42:000000000-A5J1T:1:2117:12988:13309;sample=PMRS0065.MID04-06.P2.apr13;size=3;,DBLa1.8,1.8e-52
M00595:42:000000000-A5J1T:1:2110:20028:12282;sample=PMRS0426.MID28-29.P2.apr13;size=2;,DBLa0.8,2.7e-54
M00595:42:000000000-A5J1T:1:1106:21116:8313;sample=PMRS0484.MID32-32.P2.apr13;size=1;,DBLa0.8,4.7e-57
M00595:42:000000000-A5J1T:1:1101:14506:18847;sample=PMRS0100.MID07-08.P2.apr13;size=1;,DBLa0.18,1.7e-49
M00595:42:000000000-A5J1T:1:1101:14149:1934;sample=PMRS0181.MID15-15.P1.apr13;size=2;,DBLa0.1,3e-57
M00595:42:000000000-A5J1T:1:1110:9491:9387;sample=PMRS0236.MID19-19.P2.apr13;size=7;,DBLa1.8,3e-55
M00595:42:000000000-A5J1T:1:1111:13295:15933;sample=PMRS0430.MID29-29.P1.apr13;size=1;,DBLa0.22,1.4e-58
M00595:42:000000000-A5J1T:1:1110:11542:22037;sample=PMRS0009.MID02-02.P1.apr13;size=1;,DBLa0.15,5e-55
M00595:42:000000000-A5J1T:1:2110:14627:17834;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.1,1e-55
M00595:42:000000000-A5J1T:1:2110:14503:14960;sample=PMRS0345.MID24-24.P2.apr13;size=2;,DBLa0.12,1.7e-53
M00595:42:000000000-A5J1T:1:1117:14948:13179;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.5,7e-46
M00595:42:000000000-A5J1T:1:1105:10920:15014;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.12,1.5e-56
M00595:42:000000000-A5J1T:1:1101:8037:8004;sample=PMRS0377.MID25-26.P2.apr13;size=2;,DBLa0.11,7.8e-55
M00595:42:000000000-A5J1T:1:2102:11773:19743;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.1,9.6e-58
M00595:42:000000000-A5J1T:1:1116:17141:4823;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.11,6.7e-55
M00595:42:000000000-A5J1T:1:1109:7892:7246;sample=PMRS0079.MID05-07.P2.apr13;size=1;,DBLa0.8,3.1e-57
M00595:42:000000000-A5J1T:1:1112:25344:22133;sample=PMRS0191.MID15-18.P1.apr13;size=1;,DBLa0.8,1.5e-53
M00595:42:000000000-A5J1T:1:1114:23983:18438;sample=PMRS0064.MID04-06.P1.apr13;size=1;,DBLa0.11,1.1e-54
M00595:42:000000000-A5J1T:1:1119:15969:8472;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.5,6.5e-62
M00595:42:000000000-A5J1T:1:1113:13921:13343;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.11,3.3e-54
M00595:42:000000000-A5J1T:1:2113:22819:12942;sample=PMRS0301.MID22-24.P1.apr13;size=1;,DBLa0.1,1e-52
M00595:42:000000000-A5J1T:1:1103:27002:17342;sample=PMRS0065.MID04-06.P2.apr13;size=1;,DBLa0.17,2.8e-51
M00595:42:000000000-A5J1T:1:2112:15646:5050;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.9,5e-54
M00595:42:000000000-A5J1T:1:2119:22957:3104;sample=PMRS0084.MID06-07.P1.apr13;size=1;,DBLa0.22,4e-56
M00595:42:000000000-A5J1T:1:2109:26621:9398;sample=PMRS0242.MID19-21.P2.apr13;size=1;,DBLa0.1,1.8e-52
M00595:42:000000000-A5J1T:1:1110:22596:10210;sample=PMRS0404.MID27-28.P1.apr13;size=1;,DBLa0.11,9.3e-55
M00595:42:000000000-A5J1T:1:2112:19971:22283;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa1.8,4.4e-58
M00595:42:000000000-A5J1T:1:2105:22340:12031;sample=PMRS0389.MID26-27.P1.apr13;size=2;,DBLa0.7,1.1e-46
M00595:42:000000000-A5J1T:1:1109:9331:20054;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.17,6.1e-58
M00595:42:000000000-A5J1T:1:1114:13787:16633;sample=PMRS0377.MID25-26.P2.apr13;size=2;,DBLa1.5,4.4e-54
M00595:42:000000000-A5J1T:1:1105:16853:19998;sample=PMRS0480.MID32-32.P1.apr13;size=1;,DBLa0.21,6.1e-49
M00595:42:000000000-A5J1T:1:2106:10398:15035;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.5,2.4e-62
M00595:42:000000000-A5J1T:1:1114:12109:14859;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.8,1.9e-55
M00595:42:000000000-A5J1T:1:2105:20566:11768;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.10,3e-54
M00595:42:000000000-A5J1T:1:1118:19628:16149;sample=PMRS0031.MID03-03.P1.apr13;size=1;,DBLa0.11,3.4e-54
M00595:42:000000000-A5J1T:1:2113:13162:2692;sample=PMRS0373.MID25-26.P1.apr13;size=1;,DBLa0.8,6.1e-56
M00595:42:000000000-A5J1T:1:2111:9189:8090;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa1.8,2.6e-51
M00595:42:000000000-A5J1T:1:1102:5679:14522;sample=PMRS0347.MID24-25.P2.apr13;size=3;,DBLa0.14,2.3e-56
M00595:42:000000000-A5J1T:1:1111:14324:18494;sample=PMRS0386.MID26-26.P2.apr13;size=1;,DBLa0.8,1.8e-52
M00595:42:000000000-A5J1T:1:2110:20703:4119;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.12,2.9e-54
M00595:42:000000000-A5J1T:1:1115:22061:13375;sample=PMRS0389.MID26-27.P1.apr13;size=3;,DBLa1.2,2e-50
M00595:42:000000000-A5J1T:1:1110:27319:13399;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa0.5,3.4e-55
M00595:42:000000000-A5J1T:1:1110:22259:17260;sample=PMRS0457.MID31-31.P1.apr13;size=1;,DBLa0.9,4.9e-49
M00595:42:000000000-A5J1T:1:1101:20602:7401;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.12,1.2e-56
M00595:42:000000000-A5J1T:1:2103:23815:6201;sample=PMRS0051.MID04-05.P1.apr13;size=1;,DBLa0.24,8.3e-49
M00595:42:000000000-A5J1T:1:1112:11436:19126;sample=PMRS0034.MID03-03.P2.apr13;size=1;,DBLa0.17,9.8e-55
M00595:42:000000000-A5J1T:1:1113:19452:21799;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.1,4.5e-46
M00595:42:000000000-A5J1T:1:1108:7390:16692;sample=PMRS0062.MID04-05.P2.apr13;size=1;,DBLa0.8,3.4e-51
M00595:42:000000000-A5J1T:1:1103:27192:12889;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa1.8,1.4e-53
M00595:42:000000000-A5J1T:1:2116:8200:8762;sample=PMRS0541.MID34-36.P2.apr13;size=4;,DBLa0.8,1.1e-49
M00595:42:000000000-A5J1T:1:1119:12151:17539;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.10,1.7e-42
M00595:42:000000000-A5J1T:1:1111:13409:3878;sample=PMRS0323.MID23-25.P2.apr13;size=1;,DBLa0.19,9e-55
M00595:42:000000000-A5J1T:1:2112:12311:10238;sample=PMRS0469.MID31-32.P1.apr13;size=7;,DBLa0.23,1.7e-51
M00595:42:000000000-A5J1T:1:2104:18209:22162;sample=PMRS0037.MID03-04.P1.apr13;size=1;,DBLa0.1,2.5e-58
M00595:42:000000000-A5J1T:1:1103:10832:10248;sample=PMRS0051.MID04-05.P1.apr13;size=2;,DBLa1.4,5.8e-49
M00595:42:000000000-A5J1T:1:1109:14086:8563;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.1,7.6e-57
M00595:42:000000000-A5J1T:1:2103:20825:6666;sample=PMRS0457.MID31-31.P1.apr13;size=1;,DBLa1.6,1.2e-50
M00595:42:000000000-A5J1T:1:2118:19943:11336;sample=PMRS0394.MID26-28.P2.apr13;size=2;,DBLa0.9,2.3e-54
M00595:42:000000000-A5J1T:1:2116:17692:14406;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa0.1,1.2e-50
M00595:42:000000000-A5J1T:1:1104:20707:24585;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.8,2.8e-54
M00595:42:000000000-A5J1T:1:1110:12530:7999;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.22,1e-53
M00595:42:000000000-A5J1T:1:1117:21016:8829;sample=PMRS0389.MID26-27.P1.apr13;size=2;,DBLa0.8,8.2e-55
M00595:42:000000000-A5J1T:1:1110:22442:16698;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.1,1.8e-56
M00595:42:000000000-A5J1T:1:1116:9865:9603;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.11,1.9e-64
M00595:42:000000000-A5J1T:1:2111:10070:6612;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.1,2.4e-46
M00595:42:000000000-A5J1T:1:1116:11521:22859;sample=PMRS0379.MID25-27.P2.apr13;size=2;,DBLa1.1,2.3e-50
M00595:42:000000000-A5J1T:1:1113:13723:14896;sample=PMRS0484.MID32-32.P2.apr13;size=2;,DBLa0.8,7.4e-50
